Time;Robot;Node;Idleness;Interferences
1029.3;1;86;306.6;107
1030.8;3;11;8.1;107
1031.9;4;10;144.3;108
1033.2;6;51;430.8;108
1033.8;1;87;316.3;108
1035.1;2;157;14.4;109
1035.7;0;148;18.3;110
1037.8;4;19;239.2;110
1038.0;1;75;348.6;110
1040.0;2;155;44.8;111
1040.1;3;10;8.2;111
1040.9;0;147;29.6;111
1043.5;4;23;200.8;111
1043.9;1;87;10.1;111
1044.6;2;151;74.7;111
1045.8;3;19;8.0;112
1049.4;2;150;633.2;113
1049.6;1;88;339.2;113
1051.2;0;125;69.2;113
1051.8;3;23;8.3;113
1051.8;4;24;217.5;113
1054.2;1;74;349.8;113
1055.8;0;129;203.2;113
1056.0;3;29;209.1;113
1056.2;7;90;85.9;113
1056.2;4;26;235.5;113
1056.9;2;160;674.7;113
1060.2;1;88;10.6;113
1061.1;3;30;185.2;113
1061.3;4;27;235.8;113
1062.5;2;159;674.8;113
1062.6;0;104;216.4;113
1063.5;7;106;141.3;113
1065.5;4;25;236.0;113
1065.8;1;87;21.9;113
1067.2;7;107;148.6;113
1070.2;4;24;18.4;114
1070.2;0;103;207.3;114
1070.5;1;86;41.2;114
1071.5;7;118;157.3;115
1073.9;1;92;347.6;116
1076.0;0;98;218.0;116
1076.0;2;130;675.1;116
1076.1;7;117;230.6;116
1078.1;3;37;79.6;117
1079.2;4;23;27.4;117
1079.9;1;108;319.9;117
1081.2;0;80;245.6;117
1082.7;3;42;79.6;117
1083.5;2;131;675.5;117
1084.1;4;29;28.1;117
1086.2;7;143;230.9;117
1088.1;1;107;20.9;118
1089.1;4;30;28.0;118
1089.9;0;79;245.9;119
1091.5;2;150;42.1;119
1092.2;1;106;28.7;119
1094.7;7;144;195.2;119
1095.4;0;97;245.9;119
1095.6;4;31;224.7;119
1096.4;2;151;51.8;119
1098.2;1;90;42.0;120
1100.7;2;139;135.1;121
1101.7;4;32;237.8;121
1103.9;1;89;127.2;122
1104.1;0;98;28.1;122
1104.2;7;119;195.5;122
1105.6;2;140;662.6;122
1109.2;4;31;13.6;123
1109.8;0;103;39.6;123
1111.0;2;134;674.2;124
1111.8;1;90;13.6;124
1112.4;3;43;201.7;124
1114.4;4;30;25.3;124
1115.0;7;144;20.3;124
1116.8;3;45;211.7;124
1117.6;2;140;12.0;124
1118.3;1;91;169.2;124
1122.1;7;145;230.0;125
1122.2;2;139;21.5;125
1122.6;3;43;10.2;125
1125.7;4;37;47.6;126
1126.0;1;90;14.2;126
1126.6;0;102;196.0;126
1129.2;7;144;14.2;127
